"Date","Price","Open","High","Low","Vol.","Change %"
"02/15/2024","1,162.25","1,168.00","1,174.75","1,160.25","135.57K","-0.70%"
"02/14/2024","1,170.50","1,186.25","1,190.00","1,168.25","128.63K","-1.33%"
"02/13/2024","1,186.25","1,191.75","1,197.50","1,183.00","132.88K","-0.57%"
"02/12/2024","1,193.00","1,183.75","1,196.75","1,182.50","114.46K","0.80%"
"02/09/2024","1,183.50","1,195.00","1,198.00","1,181.50","120.12K","-0.84%"
"02/08/2024","1,193.50","1,187.00","1,204.75","1,180.50","165.20K","0.38%"
"02/07/2024","1,189.00","1,199.00","1,202.00","1,179.25","137.24K","-0.88%"
"02/06/2024","1,199.50","1,196.00","1,205.50","1,193.75","104.10K","0.27%"
"02/05/2024","1,196.25","1,190.00","1,198.50","1,179.50","133.16K","0.65%"
"02/02/2024","1,188.50","1,203.25","1,208.25","1,186.75","101.69K","-1.23%"
"02/01/2024","1,203.25","1,221.25","1,221.75","1,199.50","117.65K","-1.55%"
"01/31/2024","1,222.25","1,218.75","1,223.00","1,206.75","131.03K","0.29%"
"01/30/2024","1,218.75","1,193.75","1,221.25","1,187.75","133.60K","2.05%"
"01/29/2024","1,194.25","1,210.75","1,212.50","1,191.50","160.78K","-1.24%"
"01/26/2024","1,209.25","1,223.50","1,230.75","1,208.50","112.23K","-1.12%"
"01/25/2024","1,223.00","1,240.00","1,247.50","1,215.50","138.53K","-1.39%"
"01/24/2024","1,240.25","1,239.00","1,246.00","1,235.25","130.58K","0.06%"
"01/23/2024","1,239.50","1,224.25","1,240.50","1,221.50","107.72K","1.25%"
"01/22/2024","1,224.25","1,216.75","1,225.75","1,209.50","94.44K","0.91%"
"01/19/2024","1,213.25","1,213.00","1,227.00","1,210.75","96.46K","-0.02%"
"01/18/2024","1,213.50","1,206.00","1,216.00","1,201.00","112.77K","0.64%"
"01/17/2024","1,205.75","1,227.25","1,231.00","1,205.00","138.32K","-1.75%"
"01/16/2024","1,227.25","1,227.00","1,237.75","1,220.75","140.12K","1.78%"
"01/12/2024","1,205.75","1,239.75","1,240.25","1,230.50","0.09K","-2.07%"
"01/11/2024","1,231.25","1,234.00","1,235.50","1,231.50","0.22K","0.20%"
"01/10/2024","1,228.75","1,241.50","1,241.50","1,230.50","0.31K","-1.03%"
"01/09/2024","1,241.50","1,238.50","1,243.00","1,228.75","0.16K","0.16%"
"01/08/2024","1,239.50","1,252.75","1,252.75","1,233.25","0.26K","-0.82%"
"01/05/2024","1,249.75","1,261.25","1,261.25","1,250.25","1.00K","-0.97%"
"01/04/2024","1,262.00","1,274.25","1,274.25","1,260.25","0.35K","-0.59%"
"01/03/2024","1,269.50","1,271.50","1,275.25","1,268.00","2.36K","-0.35%"
"01/02/2024","1,274.00","1,289.50","1,289.50","1,266.00","2.68K","-1.51%"
"12/29/2023","1,293.50","1,304.75","1,311.75","1,292.25","6.68K","-0.90%"
"12/28/2023","1,305.25","1,315.75","1,324.25","1,303.00","23.87K","-0.87%"
"12/27/2023","1,316.75","1,310.50","1,318.75","1,303.00","37.41K","0.27%"
"12/26/2023","1,313.25","1,299.75","1,314.50","1,296.00","34.32K","1.04%"
"12/22/2023","1,299.75","1,296.75","1,308.00","1,294.00","52.37K","0.19%"
"12/21/2023","1,297.25","1,309.50","1,310.00","1,295.00","71.64K","-0.84%"
"12/20/2023","1,308.25","1,312.50","1,321.75","1,305.50","101.20K","-0.32%"
"12/19/2023","1,312.50","1,326.50","1,328.75","1,309.50","136.92K","-1.09%"
"12/18/2023","1,327.00","1,318.00","1,328.00","1,307.00","105.95K","0.86%"
"12/15/2023","1,315.75","1,317.00","1,320.50","1,304.00","104.87K","0.13%"
"12/14/2023","1,314.00","1,311.00","1,319.25","1,304.00","92.84K","0.50%"
"12/13/2023","1,307.50","1,323.00","1,323.50","1,302.50","134.42K","-1.23%"
"12/12/2023","1,323.75","1,337.25","1,344.00","1,320.50","151.13K","-0.92%"
"12/11/2023","1,336.00","1,309.50","1,338.50","1,307.00","156.81K","2.45%"
"12/08/2023","1,304.00","1,312.50","1,330.75","1,299.00","143.89K","-0.59%"
"12/07/2023","1,311.75","1,296.00","1,318.25","1,292.00","142.34K","1.25%"
"12/06/2023","1,295.50","1,309.25","1,313.50","1,293.75","114.90K","-0.77%"
"12/05/2023","1,305.50","1,307.25","1,315.25","1,294.00","127.53K","-0.06%"
"12/04/2023","1,306.25","1,322.50","1,329.25","1,303.50","145.54K","-1.42%"
"12/01/2023","1,325.00","1,342.00","1,343.50","1,323.50","133.23K","-1.32%"
"11/30/2023","1,342.75","1,347.00","1,351.50","1,339.25","106.35K","-0.32%"
"11/29/2023","1,347.00","1,346.50","1,352.00","1,337.00","110.83K","0.04%"
"11/28/2023","1,346.50","1,330.25","1,350.00","1,329.50","122.21K","1.26%"
"11/27/2023","1,329.75","1,329.50","1,339.00","1,323.50","108.13K","-0.08%"
"11/24/2023","1,330.75","1,354.50","1,355.00","1,329.50","79.52K","-1.90%"
"11/22/2023","1,356.50","1,377.00","1,378.50","1,354.25","123.98K","-1.51%"
"11/21/2023","1,377.25","1,365.50","1,389.25","1,364.00","131.50K","0.73%"
"11/20/2023","1,367.25","1,339.25","1,368.00","1,327.00","126.69K","2.01%"
"11/17/2023","1,340.25","1,360.00","1,361.50","1,336.75","125.66K","-1.47%"
"11/16/2023","1,360.25","1,385.00","1,387.75","1,353.75","139.08K","-1.79%"
"11/15/2023","1,385.00","1,389.00","1,398.50","1,379.50","112.13K","1.19%"
"11/14/2023","1,368.75","1,372.00","1,372.00","1,358.50","0.06K","0.05%"
"11/13/2023","1,368.00","1,335.00","1,369.00","1,333.75","0.28K","2.59%"
"11/10/2023","1,333.50","1,328.00","1,335.00","1,325.25","0.16K","0.43%"
"11/09/2023","1,327.75","1,351.00","1,353.50","1,326.50","0.09K","-1.58%"
"11/08/2023","1,349.00","1,352.00","1,368.75","1,348.00","0.22K","0.02%"
"11/07/2023","1,348.75","1,339.50","1,366.00","1,336.50","2.17K","0.62%"
"11/06/2023","1,340.50","1,327.50","1,345.25","1,327.50","1.02K","-0.83%"
"11/03/2023","1,351.75","1,327.00","1,355.00","1,326.25","","1.77%"
"11/02/2023","1,328.25","1,315.25","1,330.00","1,315.00","","0.86%"
"11/01/2023","1,316.88","1,311.88","1,319.12","1,304.50","","0.49%"
"10/31/2023","1,310.50","1,307.25","1,321.50","1,300.00","","0.25%"
"10/30/2023","1,307.25","1,319.50","1,331.25","1,305.50","","-0.93%"
"10/27/2023","1,319.50","1,300.00","1,325.25","1,298.50","160.76K","3.13%"
"10/26/2023","1,279.50","1,287.50","1,297.75","1,277.50","","-0.68%"
"10/25/2023","1,288.25","1,293.00","1,301.25","1,278.00","111.04K","-0.54%"
"10/24/2023","1,295.25","1,287.00","1,297.75","1,280.50","125.25K","0.66%"
"10/23/2023","1,286.75","1,302.00","1,304.00","1,286.00","119.49K","-1.19%"
"10/20/2023","1,302.25","1,315.00","1,318.50","1,301.00","143.73K","-1.01%"
"10/19/2023","1,315.50","1,311.00","1,317.75","1,300.25","182.30K","0.34%"
"10/18/2023","1,311.00","1,297.00","1,313.00","1,293.25","163.21K","1.10%"
"10/17/2023","1,296.75","1,286.00","1,303.50","1,285.50","135.41K","0.82%"
"10/16/2023","1,286.25","1,280.00","1,289.00","1,279.50","111.49K","0.47%"
"10/13/2023","1,280.25","1,286.75","1,298.50","1,273.50","139.75K","-0.76%"
"10/12/2023","1,290.00","1,252.50","1,299.75","1,250.50","235.47K","2.99%"
"10/11/2023","1,252.50","1,271.50","1,274.25","1,251.00","185.25K","-1.49%"
"10/10/2023","1,271.50","1,263.00","1,273.25","1,254.25","161.65K","0.57%"
"10/09/2023","1,264.25","1,267.00","1,277.50","1,258.25","162.79K","-0.14%"
